title,popularity,vote_count,vote_average,genre,release_year
Child's Play,67.722,2155,6.6,Horror,1988
The Voyeurs,64.951,408,6.7,Thriller,2021
The Mad Hatter,61.894,47,5.8,"Horror, Thriller",2021
Safe,52.198,1935,6.4,"Action, Crime, Thriller",2012
Disobedience,49.958,902,6.9,"Drama, Romance",2017
Poltergeist,45.545,1964,5.2,Horror,2015
Rings,44.014,2207,5,Horror,2017
Courageous,42.952,262,7.5,Drama,2011
The Howling,37.783,530,6.5,Horror,1981
Coming to America,33.425,3429,6.8,"Comedy, Romance",1988
Magic Mike XXL,29.657,1515,6.2,"Comedy, Drama",2015
The Big Boss,25.545,523,7.2,Action,1971
Wolf Warrior,23.352,148,6.2,"Action, War",2015
Fidelity,23.055,167,7,Drama,2019
Airplane!,22.459,3460,7.3,Comedy,1980
IO,21.799,1127,4.9,Science Fiction,2019
Taxi,21.552,1890,6.6,"Action, Comedy",1998
Room,21.235,7865,8.1,"Drama, Thriller",2015
Berlin Drifters,18.813,7,5,Drama,2017
The Fog,18.654,1069,6.7,Horror,1980
42,18.378,1449,7.1,Drama,2013
Army of One,18.301,219,5.3,Comedy,2016
Roma,17.683,3337,7.7,Drama,2018
mid90s,17.627,1127,7.5,"Drama, Comedy",2018
Land,16.031,143,6.9,Drama,2021
Necronomicon,15.278,102,6,Horror,1993
Amateur,14.633,235,6.5,Drama,2018
Persian Lessons,14.184,175,7.5,"War, Drama",2020
Spider-Man: No Way Home,5083.954,8940,8.3,"Action, Adventure, Science Fiction",2021
The Batman,3827.658,1151,8.1,"Crime, Mystery, Thriller",2022
No Exit,2618.087,122,6.3,Thriller,2022
Encanto,2402.201,5076,7.7,"Animation, Comedy, Family, Fantasy",2021
The King's Man,1895.511,1793,7,"Action, Adventure, Thriller, War",2021
The Commando,1750.484,33,6.6,"Action, Crime, Thriller",2022
Scream,1675.161,821,6.8,"Horror, Mystery, Thriller",2022
Kimi,1601.782,206,6.3,Thriller,2022
Fistful of Vengeance,1594.013,114,5.3,"Action, Crime, Fantasy",2022
Eternals,1537.406,4726,7.2,Science Fiction,2021
